Initialising login role...
contaminated_category,market_segment,cluster_n,cluster_median_vps,id,product_name,brand,price,comp,vps,current_qpr
abito,premium,45,2.98,88bcba6a-c492-4efb-9377-939fbe918d12,Camicia a righe regular fit,Massimo Dutti,69.95,72.00,0.97,97.00
abito,premium,45,2.98,ab7c0f0a-8d31-4859-9d1d-f658e9c16257,Shorts in lino con pinces e coulisse,COS,89.00,88.00,1.01,95.00
abito,premium,45,2.98,9ade13f6-ff5b-4284-b2b0-809d5c111cfc,Shorts in lino con pinces e coulisse 1339420001,COS,89.00,88.00,1.01,95.00
abito,premium,45,2.98,552ec391-dd3c-4203-8889-155356923014,Pantaloni da completo in lino 707,Massimo Dutti,89.95,88.00,1.02,95.00
abito,premium,45,2.98,c7d6dca3-6d76-4f62-a113-5e2f7dc2b62e,Gilet da completo di lana fresca,Massimo Dutti,99.95,92.00,1.09,92.00
abito,premium,45,2.98,244bafd4-49c2-469f-a36b-45dc26089d24,Pantaloni da completo gamba larga in fresco lana,Massimo Dutti,99.95,92.00,1.09,92.00
abito,premium,45,2.98,6728dd15-86e4-4073-90f7-8df94579aaa0,Pantaloni da completo in fresco lana,Massimo Dutti,99.95,92.00,1.09,92.00
abito,premium,45,2.98,c9673f03-7ad9-42c9-b27e-036d6a7fc426,Pantaloni da completo in lana fredda 405,Massimo Dutti,99.95,92.00,1.09,92.00
abito,premium,45,2.98,9be1d866-3afd-4b0e-8094-74a4c2a40c88,Pantaloni da completo a quadri in misto lana fredda,Massimo Dutti,99.95,92.00,1.09,92.00
abito,premium,45,2.98,f2bf183c-94aa-4a38-8588-73a251c87aee,Pantaloni da abito in misto lana fredda,Massimo Dutti,99.95,92.00,1.09,92.00
abito,premium,45,2.98,ea513767-a296-407e-8feb-196f2d93671d,Pantaloni da completo microstruttura lana fredda,Massimo Dutti,99.95,92.00,1.09,92.00
abito,premium,45,2.98,1bc3b7ab-c1b8-49a4-a095-ea82c24f6d1e,Pantaloni completo in lana fresca,Massimo Dutti,99.95,92.00,1.09,92.00
blazer,premium,34,2.83,2728dbff-88a9-4193-9ac8-28cb242e84b1,Blazer due bottoni 100% lana sottilissima 800,Massimo Dutti,169.00,92.00,1.84,94.00
blazer,premium,34,2.83,bba57068-2917-461c-aabe-d38812e99280,Blazer due bottoni 100% lana sottilissima 401,Massimo Dutti,169.00,92.00,1.84,94.00
blazer,premium,34,2.83,537203b9-26ec-47d9-8bdc-f0f446697a39,Blazer mélange con lana,Massimo Dutti,169.00,85.00,1.99,89.00
blazer,premium,34,2.83,f78de7b2-3b9b-414e-87d3-7e8f123c5a1e,Blazer monopetto in lino,COS,199.00,88.00,2.26,78.00
blazer,premium,34,2.83,2141c9f9-5332-4727-baa1-ff25ae59e18e,Blazer 100% lino,Massimo Dutti,199.00,88.00,2.26,78.00
blazer,premium,34,2.83,570829cb-e6f8-48f4-8378-0602a241152e,Blazer con tasche e cintura 100% lino,Massimo Dutti,199.00,88.00,2.26,78.00
blazer,premium,34,2.83,db4d9a21-f880-4eee-811e-38f652b62657,Blazer monopetto in lino 1275809004,COS,199.00,88.00,2.26,78.00
blazer,premium,34,2.83,0c94d910-a464-4d09-8c30-64fd4dd27929,Blazer foulard mélange 100% lino,Massimo Dutti,229.00,88.00,2.60,61.00
blazer,premium,34,2.83,9da0bb61-a7ea-4722-b611-ecffcae76d8e,Blazer da abito 100% lana fredda 401,Massimo Dutti,249.00,92.00,2.71,56.00
blazer,premium,34,2.83,33d6dc13-8f64-44ea-84bd-7bb5e3196a50,Blazer da completo 100% lana fredda 800,Massimo Dutti,249.00,92.00,2.71,56.00
blazer,premium,34,2.83,6c6e1074-4111-4869-a86e-dc3e539bc802,Blazer da completo in lana fredda,Massimo Dutti,249.00,92.00,2.71,56.00
blazer,premium,34,2.83,237a5443-5e9e-42d0-9162-82a4ee905f21,Blazer da completo microstruttura 100% lana fredda,Massimo Dutti,249.00,92.00,2.71,56.00
blazer,premium,34,2.83,2b0f1909-1de4-4ddb-8ca4-bb4a6e582280,Blazer da completo a quadri in lana fredda 401,Massimo Dutti,249.00,92.00,2.71,56.00
blazer,premium,34,2.83,62c88e6d-f8f7-4cc7-9d03-6f527de880b2,Blazer da completo 100% lana fredda 802,Massimo Dutti,249.00,92.00,2.71,56.00
blazer,premium,34,2.83,c843e735-e059-4035-afc0-ba27eb5a5ea4,Blazer da completo 100% lana fredda 801,Massimo Dutti,249.00,92.00,2.71,56.00
